frame.number	ip.src	ip.dst
807	172.217.0.170	10.133.19.67
808	172.217.0.170	10.133.19.67
809	10.133.19.67	172.217.0.170
810	172.217.0.170	10.133.19.67
811	172.217.0.170	10.133.19.67
812	172.217.0.170	10.133.19.67
813	10.133.19.67	172.217.0.170
814	172.217.0.170	10.133.19.67
815	10.133.19.67	172.217.0.170
816	172.217.0.170	10.133.19.67
817	172.217.0.170	10.133.19.67
818	10.133.19.67	172.217.0.170
819	172.217.0.170	10.133.19.67
820	172.217.0.170	10.133.19.67
821	172.217.0.170	10.133.19.67
822	10.133.19.67	172.217.0.170
823	172.217.0.170	10.133.19.67
824	10.133.19.67	172.217.0.170
825	172.217.0.170	10.133.19.67
826	172.217.0.170	10.133.19.67
827	10.133.19.67	172.217.0.170
828	172.217.0.170	10.133.19.67
829	172.217.0.170	10.133.19.67
830	10.133.19.67	172.217.0.170
831	172.217.0.170	10.133.19.67
832	172.217.0.170	10.133.19.67
833	172.217.0.170	10.133.19.67
834	172.217.0.170	10.133.19.67
835	10.133.19.67	172.217.0.170
836	10.133.19.67	172.217.0.170
837	172.217.0.170	10.133.19.67
838	172.217.0.170	10.133.19.67
839	10.133.19.67	172.217.0.170
840	172.217.0.170	10.133.19.67
841	172.217.0.170	10.133.19.67
842	172.217.0.170	10.133.19.67
843	10.133.19.67	172.217.0.170
844	172.217.0.170	10.133.19.67
845	10.133.19.67	172.217.0.170
846	172.217.0.170	10.133.19.67
847	172.217.0.170	10.133.19.67
848	172.217.0.170	10.133.19.67
849	172.217.0.170	10.133.19.67
850	172.217.0.170	10.133.19.67
851	172.217.0.170	10.133.19.67
852	10.133.19.67	172.217.0.170
853	10.133.19.67	172.217.0.170
854	172.217.0.170	10.133.19.67
855	10.133.19.67	172.217.0.170
856	172.217.0.170	10.133.19.67
857	10.133.19.67	172.217.0.170
858	172.217.0.170	10.133.19.67
859	172.217.0.170	10.133.19.67
860	172.217.0.170	10.133.19.67
861	172.217.0.170	10.133.19.67
862	172.217.0.170	10.133.19.67
863	10.133.19.67	172.217.0.170
864	10.133.19.67	172.217.0.170
865	172.217.0.170	10.133.19.67
866	172.217.0.170	10.133.19.67
867	172.217.0.170	10.133.19.67
868	172.217.0.170	10.133.19.67
869	172.217.0.170	10.133.19.67
870	10.133.19.67	172.217.0.170
871	10.133.19.67	172.217.0.170
872	10.133.19.67	172.217.0.170
873	172.217.0.170	10.133.19.67
874	172.217.0.170	10.133.19.67
875	172.217.0.170	10.133.19.67
876	172.217.0.170	10.133.19.67
877	172.217.0.170	10.133.19.67
878	10.133.19.67	172.217.0.170
879	10.133.19.67	172.217.0.170
880	172.217.0.170	10.133.19.67
881	10.133.19.67	172.217.0.170
882	172.217.0.170	10.133.19.67
883	172.217.0.170	10.133.19.67
884	172.217.0.170	10.133.19.67
885	172.217.0.170	10.133.19.67
886	172.217.0.170	10.133.19.67
887	172.217.0.170	10.133.19.67
888	10.133.19.67	172.217.0.170
889	172.217.0.170	10.133.19.67
890	172.217.0.170	10.133.19.67
891	172.217.0.170	10.133.19.67
892	172.217.0.170	10.133.19.67
893	172.217.0.170	10.133.19.67
894	172.217.0.170	10.133.19.67
895	172.217.0.170	10.133.19.67
896	172.217.0.170	10.133.19.67
897	172.217.0.170	10.133.19.67
898	10.133.19.67	172.217.0.170
899	172.217.0.170	10.133.19.67
900	172.217.0.170	10.133.19.67
901	172.217.0.170	10.133.19.67
902	172.217.0.170	10.133.19.67
903	172.217.0.170	10.133.19.67
904	172.217.0.170	10.133.19.67
905	172.217.0.170	10.133.19.67
906	172.217.0.170	10.133.19.67
907	172.217.0.170	10.133.19.67
908	172.217.0.170	10.133.19.67
909	172.217.0.170	10.133.19.67
910	10.133.19.67	172.217.0.170
911	172.217.0.170	10.133.19.67
912	172.217.0.170	10.133.19.67
913	172.217.0.170	10.133.19.67
914	172.217.0.170	10.133.19.67
915	172.217.0.170	10.133.19.67
916	172.217.0.170	10.133.19.67
917	172.217.0.170	10.133.19.67
918	172.217.0.170	10.133.19.67
919	172.217.0.170	10.133.19.67
920	172.217.0.170	10.133.19.67
921	172.217.0.170	10.133.19.67
922	10.133.19.67	172.217.0.170
923	172.217.0.170	10.133.19.67
924	172.217.0.170	10.133.19.67
925	172.217.0.170	10.133.19.67
926	172.217.0.170	10.133.19.67
927	172.217.0.170	10.133.19.67
928	10.133.19.67	172.217.0.170
929	172.217.0.170	10.133.19.67
930	172.217.0.170	10.133.19.67
931	172.217.0.170	10.133.19.67
932	172.217.0.170	10.133.19.67
933	172.217.0.170	10.133.19.67
934	172.217.0.170	10.133.19.67
935	172.217.0.170	10.133.19.67
936	172.217.0.170	10.133.19.67
937	172.217.0.170	10.133.19.67
938	172.217.0.170	10.133.19.67
939	172.217.0.170	10.133.19.67
940	10.133.19.67	172.217.0.170
941	172.217.0.170	10.133.19.67
942	172.217.0.170	10.133.19.67
943	172.217.0.170	10.133.19.67
944	172.217.0.170	10.133.19.67
945	172.217.0.170	10.133.19.67
946	172.217.0.170	10.133.19.67
